consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments
42498750,210096213,MAQUILLAJE,ESIKA,18.9,18-02-2023,7,221.3,430.195,674,0.105263158,0.907734057,808.7,32,32,Constantes 1
50391108,210100781,HOGAR,CYZONE,34.9,21-03-2023,16,560.6,430.195,643,0.263157895,0.865671642,3809.5,116,112,Constantes 3
48346014,200107370,MAQUILLAJE,CYZONE,13.9,02-03-2023,48,1257.5,430.195,662,0.824561404,0.891451832,16470.83,665,469,Nuevas
45494314,210102154,BIJOUTERIE,CYZONE,34.9,20-03-2023,13,422.8,430.195,644,0.210526316,0.867028494,6437.58,204,165,Constantes 3
48346014,200103919,MAQUILLAJE,CYZONE,11.39,09-02-2023,51,1211.71,430.195,683,0.877192982,0.919945726,16470.83,665,469,Nuevas
31826446,200078931,CUIDADO PERSONAL,ESIKA,11.65,22-03-2023,20,378.4,430.195,642,0.333333333,0.86431479,2136.43,108,89,Constantes 3
47948835,200092744,FRAGANCIAS,CYZONE,39.9,10-01-2023,19,529.2,430.195,713,0.315789474,0.960651289,8933.47,357,234,Constantes 1
50224287,200097067,CUIDADO PERSONAL,ESIKA,27.47,21-03-2023,14,249.08,430.195,643,0.228070175,0.865671642,1325.21,68,58,Constantes 1
50366901,200101588,MAQUILLAJE,ESIKA,18.9,31-03-2023,7,221.35,430.195,633,0.105263158,0.852103121,3583.24,130,96,Constantes 1
31826446,210102335,BIJOUTERIE,ESIKA,49.9,22-03-2023,20,378.4,430.195,642,0.333333333,0.86431479,2136.43,108,89,Constantes 3
49506570,200105011,FRAGANCIAS,CYZONE,35.9,02-03-2023,11,372.4,430.195,662,0.175438596,0.891451832,3279.6,108,96,Nuevas
46587790,200102111,MAQUILLAJE,CYZONE,9.9,26-12-2022,21,517.98,430.195,728,0.350877193,0.981004071,5454.17,197,150,Constantes 2
48346014,210100407,CUIDADO PERSONAL,CYZONE,23.9,02-03-2023,48,1257.5,430.195,662,0.824561404,0.891451832,16470.83,665,469,Nuevas
50147800,200082674,FRAGANCIAS,ESIKA,22.9,22-03-2023,16,416.56,430.195,642,0.263157895,0.86431479,2395,65,63,Inconstantes
45697525,200102430,FRAGANCIAS,ESIKA,12.5,29-03-2023,12,404.2,430.195,635,0.192982456,0.854816825,2614.95,119,87,Nuevas
45869830,200103025,CUIDADO PERSONAL,ESIKA,29.9,21-03-2023,11,251,430.195,643,0.175438596,0.865671642,7292.2,285,203,Inconstantes
50432777,200100838,FRAGANCIAS,ESIKA,69.9,13-03-2023,24,551.42,430.195,651,0.403508772,0.876526459,4997.43,199,155,Nuevas
42759880,200103449,CUIDADO PERSONAL,CYZONE,9.59,12-09-2023,22,721.8,430.195,468,0.368421053,0.628222524,9042.67,338,250,Constantes 3
42759880,200089168,FRAGANCIAS,CYZONE,28.93,12-09-2023,22,721.8,430.195,468,0.368421053,0.628222524,9042.67,338,250,Constantes 3
42759880,200102061,FRAGANCIAS,ESIKA,17.1,12-09-2023,22,721.8,430.195,468,0.368421053,0.628222524,9042.67,338,250,Constantes 3
48765629,200108050,CUIDADO PERSONAL,ESIKA,23.9,12-09-2023,17,369.71,430.195,468,0.280701754,0.628222524,3693.36,171,126,Constantes 3
