consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products,rolling_segments,normalized_f,normalized_r,combined_score,bundle_id,is_anchor,bundle_score,category_score,business_score,score,selection_score
Nuevas,210102594,COMPLEMENTOS,CYZONE,44.9,07-07-2023,13,275.2,430.195,535,0.210526316,0.719131615,2607.69,100,89,Nuevas,0.21052631578947367,0.7240437158469946,0.5186367558239862,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
Nuevas,200095170,CUIDADO PERSONAL,ESIKA,8.19,20-12-2023,11,359.85,430.195,369,0.175438596,0.493894166,20404.69,757,481,Nuevas,0.17543859649122806,0.4972677595628415,0.36853609433419615,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
Nuevas,200109875,FRAGANCIAS,LBEL,20.0,20-12-2023,11,359.85,430.195,369,0.175438596,0.493894166,20404.69,757,481,Nuevas,0.17543859649122806,0.4972677595628415,0.36853609433419615,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
Nuevas,200115328,TRATAMIENTO FACIAL,LBEL,100.0,22-04-2024,12,441.3,430.195,245,0.192982456,0.325644505,4721.02,158,133,Nuevas,0.19298245614035087,0.32786885245901637,0.27391429393155015,Nuevas_Bundle_1,0,0.4723119273593821,1.0,3.0,2.5,2.5
Nuevas,210101378,BIJOUTERIE,ESIKA,40.9,19-01-2023,53,1196.91,430.195,704,0.912280702,0.94843962,16470.83,665,469,Nuevas,0.9122807017543859,0.9549180327868853,0.9378631003738855,Nuevas_Bundle_2,1,0.6015962036238136,,,,
Nuevas,200102102,MAQUILLAJE,CYZONE,11.6,22-03-2023,15,364.0,430.195,642,0.245614035,0.86431479,9109.95,482,280,Nuevas,0.24561403508771928,0.8702185792349727,0.6203767615760712,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
Nuevas,200106356,FRAGANCIAS,CYZONE,27.9,03-07-2023,25,573.0,430.195,539,0.421052632,0.724559023,20404.69,757,481,Nuevas,0.42105263157894735,0.7295081967213115,0.6061259706643658,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
Nuevas,200078924,CUIDADO PERSONAL,ESIKA,13.3,29-05-2023,22,377.22,430.195,574,0.368421053,0.772048847,10074.13,449,279,Nuevas,0.3684210526315789,0.7773224043715847,0.6137618636755824,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
Nuevas,200109537,CUIDADO PERSONAL,ESIKA,5.0,10-06-2024,19,573.8,430.195,196,0.315789474,0.259158752,2551.43,110,93,Nuevas,0.3157894736842105,0.2609289617486339,0.28287316652286454,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
Nuevas,200106284,FRAGANCIAS,ESIKA,44.9,16-10-2023,21,509.05,430.195,434,0.350877193,0.582089552,16470.83,665,469,Nuevas,0.3508771929824561,0.5860655737704918,0.49199022145527754,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
Nuevas,200099310,FRAGANCIAS,ESIKA,30.9,21-02-2023,17,475.2,430.195,671,0.280701754,0.903663501,1820.98,74,62,Nuevas,0.2807017543859649,0.9098360655737705,0.6581823410986483,Nuevas_Bundle_2,0,0.6015962036238136,1.0,3.0,2.5,2.5
