CODPAIS,ANIOCAMPANA,CODEBELISTA,CODVENTA,CODPRODUCTOSAP,ID_OFERTA,COD_CATALOGO,ID_MACROESTRATEGIA,ID_TIPO_SUBESTRATEGIA,DES_TIPO_SUBESTRATEGIA,DES_TIPO_ESTRATEGIA,ID_TIPO_GRUPO,ID_GRUPO,DES_TIPO_GRUPO,ID_SUB_GRUPO,NUM_PAGINA,PRECIO_OFERTA,ES_GRATIS,ES_PADRE,ES_GRUPO_PADRE,FACTOR_CUADRE,FACTOR_REPETICION,COD_TIPO_OFERTA,COD_TIPO_PROFIT,ID_SUBESTRATEGIA,CODCUC,FECHAPROCESO,COMPOSITE_PRIMARY_KEY
PE,202301,49946996,39576,400095666,1290,26,1677,1,INDIVIDUAL,INDIVIDUAL,1,361227,FIJO,361227,0,0,1,1,1,1,1,57,6,1181,XXXXXXXXX,2023-01-06,1|1|1|1|1|XXXXXXXXX|
PE,202304,50020096,129421,200110089,3468,45,598,1,INDIVIDUAL,INDIVIDUAL,2,377281,VARIABLE,377281,1,16.9,0,1,1,1,1,201,1,2977,200110089,2023-02-21,1|2|1|0|1|200110089|
PE,202303,49389205,202653,200082481,3365,45,406,2,SET FIJO,SET,1,372243,FIJO,372243,1,25,0,1,1,1,1,201,1,2873,200082481,2023-02-10,2|1|1|0|1|200082481|
PE,202303,50020096,202653,200082481,3365,45,406,2,SET FIJO,SET,1,372243,FIJO,372243,1,25,0,1,1,1,1,201,1,2873,200082481,2023-01-31,2|1|1|0|1|200082481|
PE,202302,49946996,38768,400096763,275,4,1310,991,INDIVIDUAL + ADICIONAL,INDIVIDUAL,1,364916,FIJO,364916,254,0,1,0,1,1,1,57,6,262,XXXXXXXXX,2023-01-24,991|1|1|1|0|XXXXXXXXX|
PE,202306,10961556,7469,200098821,2069,35,495,1,INDIVIDUAL,INDIVIDUAL,1,385707,FIJO,385707,142,4.9,0,1,1,1,1,45,2,1583,200098821,2023-04-22,1|1|1|0|1|200098821|
PE,202302,49389205,40128,400097358,1337,26,1276,1,INDIVIDUAL,INDIVIDUAL,1,366065,FIJO,366065,0,0,1,1,1,1,1,57,6,1240,XXXXXXXXX,2023-01-20,1|1|1|1|1|XXXXXXXXX|
PE,202307,35545956,36299,200098555,1499,24,121,999,VOLUMEN,VOLUMEN,2,391341,VARIABLE,391341,14,32.49,0,1,1,1,8,425,1,1390,200098555,2023-04-19,999|2|8|0|1|200098555|
PE,202314,35545956,36407,200086432,1612,24,164,999,VOLUMEN,VOLUMEN,1,423581,FIJO,423581,17,25.99,0,1,1,1,2,429,1,1376,200056246,2023-09-04,999|1|2|0|1|200056246|
PE,202302,43985620,1213,210098462,648,10,1078,1,INDIVIDUAL,INDIVIDUAL,2,365301,VARIABLE,365301,26,13.9,0,1,1,1,1,300,1,623,P0197132000,2023-01-10,1|2|1|0|1|P0197132000|
PE,202306,50180387,16387,200090337,1333,13,346,1,INDIVIDUAL,INDIVIDUAL,1,384884,FIJO,384884,116,23.9,0,1,1,1,1,300,1,921,200084783,2023-04-11,1|1|1|0|1|200084783|
