ID_OFERTA,Composite_key
27,INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0|INDIVIDUAL|FIJO|200051475|1|0|1.0
28,INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0|INDIVIDUAL|FIJO|200051249|1|0|1.0
29,INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0|INDIVIDUAL|FIJO|200072406|1|0|1.0
30,INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0|INDIVIDUAL|FIJO|200051254|1|0|1.0
31,INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0|INDIVIDUAL|FIJO|200107663|1|0|1.0
32,INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0|INDIVIDUAL|FIJO|200116558|1|0|1.0
33,INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0|INDIVIDUAL|FIJO|200051255|1|0|1.0
34,INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0|INDIVIDUAL|FIJO|200111318|1|0|1.0
35,INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0|INDIVIDUAL|FIJO|200082974|1|0|1.0
36,INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0|INDIVIDUAL|FIJO|200051243|1|0|1.0
