CODEBELISTA,FECHAPROCESO,total_price
33090625,7/22/2023,19.9
33090625,8/14/2023,49.9
33529260,1/15/2024,39.9
33529260,1/17/2023,13.9
33529260,10/27/2023,33.25
33529260,10/28/2024,25.9
33529260,10/7/2024,17.9
33529260,10/9/2023,34.9
33529260,11/18/2024,18.26
33529260,11/20/2023,17.9
33529260,12/19/2023,34.9
33529260,12/20/2023,13.9
33529260,12/28/2022,17.9
33529260,12/4/2023,14.97
33529260,2/26/2024,11.3
33529260,2/28/2023,47.9
33529260,2/5/2024,34.9
33529260,2/7/2023,1.4
33529260,3/18/2024,44.9
33529260,3/21/2023,12.4
33529260,4/11/2023,1.9
33529260,4/26/2024,24.95
33529260,4/8/2024,19.9
33529260,5/2/2023,42.9
33529260,5/20/2024,39.9
33529260,5/23/2023,18.95
33529260,6/10/2024,65.9
33529260,6/13/2023,25.12
33529260,7/1/2024,23.9
33529260,7/12/2023,14.62
33529260,7/19/2024,17.9
33529260,7/24/2023,17.9
33529260,7/3/2023,27.9
33529260,8/12/2024,44.9
33529260,8/14/2023,30.4
33529260,8/29/2024,23.9
33529260,9/16/2024,69.9
33529260,9/20/2023,29.9
33529260,9/5/2023,26.9
33740395,1/30/2024,50.0
33740395,10/28/2024,25.9
33740395,10/31/2023,23.32
33740395,10/4/2024,9.9
33740395,10/6/2023,17.5
33740395,11/14/2023,27.0
33740395,11/18/2024,59.9
33740395,12/21/2023,8.9
33740395,3/13/2024,7.63
33740395,4/23/2024,57.07
33740395,5/16/2024,20.2
33740395,6/10/2024,15.31
33740395,7/1/2024,16.9
33740395,7/17/2024,14.97
33740395,8/29/2024,23.9
33740395,8/7/2024,24.97
33740395,9/16/2024,19.96
33777957,1/12/2023,28.9
33777957,1/3/2023,19.9
33777957,12/22/2022,15.9
33777957,2/2/2023,38.9
33777957,2/24/2023,27.9
33777957,2/27/2023,29.5
33777957,3/16/2023,15.9
33777957,4/26/2023,29.9
33777957,4/5/2023,31.9
33777957,5/17/2023,90.0
33777957,6/28/2023,44.9
33777957,6/7/2023,15.9
33905173,1/10/2023,69.9
33905173,1/31/2023,44.9
33905173,12/17/2022,18.27
33905173,2/21/2023,44.9
33905173,3/14/2023,15.9
33905173,4/25/2023,34.9
33905173,4/4/2023,39.9
33905173,4/7/2023,10.0
33905173,5/16/2023,4.8
33905173,6/27/2023,14.9
33905173,6/3/2023,1.16
33905173,6/6/2023,45.33
33905173,7/18/2023,10.0
33905173,8/8/2023,21.9
33999992,10/5/2023,18.3
33999992,11/17/2023,17.98
33999992,11/3/2023,47.0
33999992,12/29/2023,49.9
33999992,12/9/2023,43.9
33999992,8/31/2023,39.9
33999992,9/1/2023,49.9
33999992,9/15/2023,14.9
34191115,1/17/2023,15.9
34191115,1/3/2023,19.95
34191115,2/13/2023,15.9
34191115,3/24/2023,18.17
34191115,3/27/2023,13.9
34191115,3/7/2023,54.9
34191115,4/20/2023,9.9
34216002,3/23/2023,49.9
34216002,4/13/2023,19.95
34216002,5/25/2023,29.9
34216002,5/4/2023,49.9
34216002,6/14/2023,20.9
34216002,7/20/2023,39.9
34216002,7/6/2023,19.5
34216002,8/17/2023,44.97
34216002,9/6/2023,54.9
34766592,10/17/2024,16.05
34766592,11/22/2024,11.9
34766592,11/5/2024,12.9
34766592,7/19/2024,25.0
34766592,8/20/2024,37.9
34766592,9/27/2024,44.9
34766592,9/9/2024,44.9
34978506,1/19/2023,18.9
34978506,1/4/2023,7.38
34978506,10/3/2024,1.3
34978506,2/9/2023,32.9
34978506,7/18/2024,11.76
34978506,7/9/2024,33.9
34978506,8/15/2024,25.9
34978506,8/29/2024,7.0
34978506,9/20/2024,22.9
35591273,10/9/2023,47.9
35591273,7/1/2023,14.9
35591273,7/24/2023,32.9
35591273,8/14/2023,51.9
35591273,9/19/2023,59.9
35591273,9/6/2023,59.9
35775838,10/21/2024,22.3
35775838,11/5/2024,13.3
35775838,12/10/2024,27.9
35775838,7/17/2024,52.49
35775838,7/30/2024,10.49
35775838,8/23/2024,46.9
35775838,9/10/2024,13.3
35775838,9/23/2024,13.3
36649356,1/17/2024,79.0
36649356,1/26/2023,79.0
36649356,1/6/2023,22.22
36649356,10/16/2023,42.9
36649356,11/27/2023,39.9
36649356,11/6/2023,19.9
36649356,12/12/2023,79.9
36649356,12/27/2023,31.9
36649356,2/15/2023,30.9
36649356,2/28/2024,89.0
36649356,2/7/2024,20.0
36649356,3/1/2023,19.96
36649356,3/19/2024,26.0
36649356,3/22/2023,43.9
36649356,4/10/2024,21.9
36649356,4/12/2023,39.9
36649356,5/24/2023,39.9
36649356,5/8/2023,26.9
36649356,6/14/2023,69.0
36649356,6/7/2023,8.81
36649356,7/25/2023,74.9
36649356,7/5/2023,14.9
36649356,8/16/2023,65.0
36649356,8/31/2023,31.9
36649356,9/22/2023,39.9
36888067,4/25/2024,59.9
36888067,5/23/2024,13.9
36888067,6/13/2024,16.0
36888067,7/25/2024,37.92
36888067,7/5/2024,11.5
36888067,8/16/2024,23.3
36949902,1/13/2023,16.9
36949902,12/19/2022,49.9
