consultant_id,product_id,category,brand,price,date,purchase_frequency,recency
50128423,200108671,FRAGANCIAS,ESIKA,130.0,2023-05-16,2,583
50107981,210098468,MAQUILLAJE,CYZONE,32.0,2023-05-16,1,583
49820887,200099047,FRAGANCIAS,ESIKA,130.0,2023-05-16,2,583
50128423,200108408,FRAGANCIAS,ESIKA,97.0,2023-05-16,3,583
40861361,400095672,Others,CYZONE,0.8,2023-05-16,1,583
42318647,200039855,FRAGANCIAS,CYZONE,86.0,2023-06-09,14,559
50771660,400095692,Others,ESIKA,0.4,2023-06-09,1,559
49833075,200095162,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,5,559
50771660,210102011,COMPLEMENTOS,CYZONE,36.0,2023-06-09,1,559
42318647,200106577,MAQUILLAJE,CYZONE,34.0,2023-06-09,3,559
49962851,200106356,FRAGANCIAS,CYZONE,60.0,2023-06-09,1,559
49320418,400097984,Others,GENERICA,0.11,2023-06-09,1,559
42318647,210095652,MAQUILLAJE,CYZONE,50.0,2023-06-09,18,559
50707466,200105188,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,1,559
49833075,200108674,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,4,559
50368882,400095710,Others,LBEL,0.4,2023-06-09,1,559
40861361,400097961,Others,GENERICA,0.31,2023-06-09,1,559
50285464,400095674,Others,CYZONE,0.4,2023-06-09,1,559
49833075,210099152,BIJOUTERIE,ESIKA,90.0,2023-06-09,1,559
50285464,200095464,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,3,559
49320418,200110703,TRATAMIENTO CORPORAL,CYZONE,40.0,2023-06-09,1,559
50285464,200100838,FRAGANCIAS,ESIKA,170.0,2023-06-09,5,559
42318647,200105011,FRAGANCIAS,CYZONE,85.0,2023-06-09,14,559
42318647,200112904,MAQUILLAJE,CYZONE,38.0,2023-06-09,6,559
50285464,210104083,BIJOUTERIE,ESIKA,100.0,2023-06-09,1,559
50771660,400095673,Others,CYZONE,0.4,2023-06-09,1,559
42318647,200095931,FRAGANCIAS,ESIKA,109.0,2023-06-09,11,559
50285464,200112529,MAQUILLAJE,ESIKA,52.0,2023-06-09,1,559
42318647,200112905,MAQUILLAJE,CYZONE,38.0,2023-06-09,5,559
50707466,400097984,Others,GENERICA,0.11,2023-06-09,1,559
50707466,400097961,Others,GENERICA,0.31,2023-06-09,1,559
42318647,200109874,FRAGANCIAS,CYZONE,203.0,2023-06-09,18,559
42318647,210098881,MAQUILLAJE,CYZONE,54.0,2023-06-09,10,559
50285464,400095710,Others,LBEL,0.4,2023-06-09,1,559
42318647,200106534,MAQUILLAJE,ESIKA,48.0,2023-06-09,2,559
50368882,400095674,Others,CYZONE,0.4,2023-06-09,1,559
50771660,210102012,COMPLEMENTOS,CYZONE,139.0,2023-06-09,1,559
49320418,400095710,Others,LBEL,0.4,2023-06-09,1,559
49833075,200095374,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,6,559
49833075,200106453,MAQUILLAJE,ESIKA,46.0,2023-06-09,1,559
42318647,200101086,TRATAMIENTO FACIAL,LBEL,152.0,2023-06-09,2,559
50707466,210102608,COMPLEMENTOS,CYZONE,85.0,2023-06-09,1,559
49320418,200108408,FRAGANCIAS,ESIKA,100.0,2023-06-09,1,559
49320418,210104255,BIJOUTERIE,CYZONE,62.0,2023-06-09,1,559
49833075,200095382,CUIDADO PERSONAL,ESIKA,18.0,2023-06-09,2,559
45960978,200107087,MAQUILLAJE,ESIKA,76.0,2023-05-22,2,577
42318647,210100499,MAQUILLAJE,CYZONE,19.0,2023-05-22,2,577
45376036,200105188,CUIDADO PERSONAL,ESIKA,36.9,2023-05-22,6,577
50368882,200089508,TRATAMIENTO CORPORAL,ESIKA,50.0,2023-05-22,1,577
42318647,200107142,MAQUILLAJE,CYZONE,34.0,2023-05-22,8,577
50513009,200105188,CUIDADO PERSONAL,ESIKA,18.0,2023-05-22,4,577
42318647,200110122,CUIDADO PERSONAL,LBEL,46.0,2023-05-22,4,577
42318647,200108674,CUIDADO PERSONAL,ESIKA,18.0,2023-05-22,4,577
50513009,200099047,FRAGANCIAS,ESIKA,130.0,2023-05-22,3,577
42318647,200109168,MAQUILLAJE,CYZONE,38.0,2023-05-22,8,577
50368882,400097909,Others,GENERICA,0.31,2023-05-22,1,577
45376036,200095170,CUIDADO PERSONAL,ESIKA,36.9,2023-05-22,3,577
40184831,400097908,Others,GENERICA,0.11,2023-05-22,1,577
50513009,200082687,CUIDADO PERSONAL,ESIKA,38.0,2023-05-22,3,577
42318647,200112295,MAQUILLAJE,CYZONE,21.0,2023-05-22,7,577
45376036,200095158,CUIDADO PERSONAL,ESIKA,36.9,2023-05-22,5,577
50136795,400095691,Others,ESIKA,0.8,2023-05-22,1,577
50513009,200108160,FRAGANCIAS,LBEL,190.0,2023-05-22,1,577
40184831,200098757,TRATAMIENTO CORPORAL,ESIKA,0.0,2023-05-22,1,577
50136795,200091759,FRAGANCIAS,LBEL,158.0,2023-05-22,1,577
50513009,400097908,Others,GENERICA,0.11,2023-05-22,1,577
45376036,400097955,Others,GENERICA,0.1,2023-05-22,1,577
42318647,200106854,FRAGANCIAS,LBEL,158.0,2023-05-22,14,577
42318647,200112292,MAQUILLAJE,CYZONE,21.0,2023-05-22,3,577
40184831,400095673,Others,CYZONE,0.8,2023-05-22,1,577
40184831,400095727,Others,GENERICA,0.8,2023-05-22,1,577
50136795,200106573,MAQUILLAJE,CYZONE,32.0,2023-05-22,1,577
42318647,200112904,MAQUILLAJE,CYZONE,37.0,2023-05-22,6,577
40184831,400095691,Others,ESIKA,0.8,2023-05-22,1,577
45376036,200095464,CUIDADO PERSONAL,ESIKA,36.9,2023-05-22,2,577
42318647,200106558,MAQUILLAJE,CYZONE,32.0,2023-05-22,5,577
50690741,200090452,FRAGANCIAS,ESIKA,96.0,2023-06-30,1,538
40861361,200078924,CUIDADO PERSONAL,ESIKA,36.0,2023-06-30,1,538
46911822,400098023,Others,GENERICA,0.23,2023-06-30,1,538
46911822,200086566,CUIDADO PERSONAL,ESIKA,59.0,2023-06-30,3,538
50136795,200086399,FRAGANCIAS,LBEL,168.0,2023-06-30,2,538
46289234,210101385,BIJOUTERIE,ESIKA,110.0,2023-06-30,1,538
50136795,200064310,FRAGANCIAS,ESIKA,52.0,2023-06-30,1,538
50739937,200109119,TRATAMIENTO CORPORAL,ESIKA,40.0,2023-06-30,1,538
50136795,200113857,MAQUILLAJE,LBEL,36.0,2023-06-30,1,538
45326977,400095729,Others,GENERICA,0.08,2023-06-30,1,538
45326977,400095675,Others,CYZONE,0.08,2023-06-30,1,538
40861361,200111164,MUESTRAS COSMETICOS,CYZONE,1.3,2023-06-30,1,538
50136795,400098023,Others,GENERICA,0.23,2023-06-30,1,538
46289234,400095729,Others,GENERICA,0.08,2023-06-30,1,538
46289234,210102616,COMPLEMENTOS,CYZONE,73.0,2023-06-30,1,538
40861361,200039855,FRAGANCIAS,CYZONE,86.0,2023-06-30,5,538
46911822,400095729,Others,GENERICA,0.08,2023-06-30,1,538
46289234,200113740,VARIOS,GENERICA,66.0,2023-06-30,1,538
50774732,200106835,MUESTRAS COSMETICOS,ESIKA,3.5,2023-06-30,4,538
46289234,210102132,RELOJES,ESIKA,185.0,2023-06-30,1,538
50774732,400095729,Others,GENERICA,0.08,2023-06-30,1,538
45326977,200109264,TRATAMIENTO FACIAL,CYZONE,54.0,2023-06-30,1,538
47459559,400095675,Others,CYZONE,0.08,2023-06-30,1,538
45326977,200109263,TRATAMIENTO FACIAL,CYZONE,38.0,2023-06-30,1,538
50739937,200105005,FRAGANCIAS,CYZONE,67.8,2023-06-30,1,538
41006951,200097066,CUIDADO PERSONAL,ESIKA,72.0,2023-06-13,3,555
41006951,400097984,Others,GENERICA,0.11,2023-06-13,1,555
48722040,200105005,FRAGANCIAS,CYZONE,85.0,2023-06-13,1,555
49524943,200102111,MAQUILLAJE,CYZONE,38.0,2023-06-13,1,555
46277104,200108807,CUIDADO PERSONAL,ESIKA,18.0,2023-06-13,13,555
44437910,400095692,Others,ESIKA,0.4,2023-06-13,1,555
50657019,210095652,MAQUILLAJE,CYZONE,40.0,2023-06-13,2,555
4932870,200082687,CUIDADO PERSONAL,ESIKA,46.0,2023-06-13,5,555
48722040,200106440,MAQUILLAJE,ESIKA,46.0,2023-06-13,2,555
46277104,200100407,TRATAMIENTO CORPORAL,ESIKA,52.0,2023-06-13,1,555
49524943,210096207,MAQUILLAJE,ESIKA,38.0,2023-06-13,2,555
49524943,200102108,MAQUILLAJE,CYZONE,38.0,2023-06-13,1,555
47012171,200113733,VARIOS,GENERICA,106.0,2023-06-13,1,555
41006951,400095710,Others,LBEL,0.4,2023-06-13,1,555
50657019,200072913,FRAGANCIAS,ESIKA,52.0,2023-06-13,2,555
49283652,400097984,Others,GENERICA,0.11,2023-06-13,1,555
50657019,200105079,FRAGANCIAS,CYZONE,38.0,2023-06-13,3,555
4932870,210101983,COMPLEMENTOS,CYZONE,123.0,2023-06-13,1,555
4932870,400095692,Others,ESIKA,0.4,2023-06-13,1,555
47012171,200105041,FRAGANCIAS,ESIKA,49.9,2023-06-13,2,555
