CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIONORMALMN
48775918,400095703,N/A,LBEL,0.8
47841925,210098469,MAQUILLAJE,CYZONE,28
20616164,400095685,N/A,ESIKA,0.8
49712049,400097298,N/A,GENERICA,0.01
43256556,400097359,N/A,GENERICA,0.8
50085473,200102089,MAQUILLAJE,CYZONE,38
49950519,210095652,MAQUILLAJE,CYZONE,38
49187912,200103920,MAQUILLAJE,CYZONE,38
49347065,200105188,CUIDADO PERSONAL,ESIKA,18
49949855,200112474,TRATAMIENTO CORPORAL,LBEL,104
49949855,210100312,PROMOCION USUARIOS,LBEL,3
43853007,200095185,MUESTRAS COSMETICOS,ESIKA,1.9
43787128,200102290,MAQUILLAJE,ESIKA,97
49730136,200106568,MAQUILLAJE,CYZONE,30
50166147,200113738,VARIOS,GENERICA,96.8
49949855,200109351,MAQUILLAJE,CYZONE,26
47076404,200088564,CUIDADO PERSONAL,ESIKA,18
49996853,200072913,FRAGANCIAS,ESIKA,44
42852902,400095685,N/A,ESIKA,0.8
43153501,400095721,N/A,GENERICA,0.8
46444973,200108671,FRAGANCIAS,ESIKA,130
48755488,400095721,N/A,GENERICA,0.8
43256556,400095721,N/A,GENERICA,0.8
43787128,400095667,N/A,CYZONE,0.8
47076404,200101159,CUIDADO PERSONAL,CYZONE,42
49943857,210101851,PROMOCION USUARIOS,CYZONE,2.5
49730136,400095703,N/A,LBEL,0.8
20810254,400095685,N/A,ESIKA,0.8
35055541,210098520,MAQUILLAJE,CYZONE,30
45717070,210095993,MAQUILLAJE,ESIKA,36
8937435,200108408,FRAGANCIAS,ESIKA,97
45590461,200111995,MAQUILLAJE,CYZONE,37
48849202,200105041,FRAGANCIAS,ESIKA,78
1156543,200108914,MAQUILLAJE,ESIKA,55
50167666,200073557,TRATAMIENTO FACIAL,LBEL,105
49532296,400097509,N/A,GENERICA,0.8
49986777,200103963,TRATAMIENTO CORPORAL,LBEL,42
49328311,200105190,CUIDADO PERSONAL,ESIKA,18
45969711,200086432,FRAGANCIAS,ESIKA,95
31963354,200113245,MUESTRAS COSMETICOS,LBEL,1
49696124,200098416,MAQUILLAJE,LBEL,52
49360827,200108892,TRATAMIENTO FACIAL,CYZONE,37.4
48775918,400068882,N/A,GENERICA,0.08
49585799,400095703,N/A,LBEL,0.8
49949243,400095685,N/A,ESIKA,0.8
50234738,400097341,N/A,GENERICA,0.8
49661266,400095703,N/A,LBEL,0.8
49847874,210095037,PROMOCION USUARIOS,ESIKA,160
49925905,200107883,CUIDADO PERSONAL,CYZONE,18
45170373,200109795,MUESTRAS COSMETICOS,CYZONE,1.1
46296109,200103917,MAQUILLAJE,CYZONE,38
49865600,400095721,N/A,GENERICA,0.8
49360827,200105125,CUIDADO PERSONAL,ESIKA,18
20616164,200082674,FRAGANCIAS,ESIKA,44
41010398,210100191,PROMOCION USUARIOS,ESIKA,120
20616164,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
9527508,400095710,N/A,LBEL,0.08
43768565,210102595,COMPLEMENTOS,CYZONE,96
43768565,400095693,N/A,ESIKA,0.08
48849202,200106454,MAQUILLAJE,ESIKA,0
43768565,210099657,COMPLEMENTOS,CYZONE,131
50331903,210105870,VARIOS,ESIKA,0.27
20616164,210097405,BIJOUTERIE,ESIKA,80
20616164,200098674,MUESTRAS COSMETICOS,ESIKA,1.2
20616164,200109804,MAQUILLAJE,LBEL,104
9527508,400097983,N/A,GENERICA,0.08
9527508,400095728,N/A,GENERICA,0.08
31617065,400095675,N/A,CYZONE,0.08
20616164,400098062,N/A,GENERICA,0.01
50166147,210104481,BIJOUTERIE,ESIKA,90
9527508,200099047,FRAGANCIAS,ESIKA,130
50166147,400083364,N/A,GENERICA,0.08
43768565,200111164,MUESTRAS COSMETICOS,CYZONE,1.3
50392856,200113464,FRAGANCIAS,CYZONE,52
50166147,400095729,N/A,GENERICA,0.08
9527508,200082678,FRAGANCIAS,ESIKA,52
48849202,200101369,FRAGANCIAS,LBEL,176
9527508,200082687,CUIDADO PERSONAL,ESIKA,46
20616164,210104482,BIJOUTERIE,ESIKA,80
47856221,400095711,N/A,LBEL,0.08
43768565,200106444,MAQUILLAJE,ESIKA,0
20616164,210103488,BIJOUTERIE,ESIKA,110
31617065,210095326,BIJOUTERIE,ESIKA,100
48849202,400098062,N/A,GENERICA,0.01
50166147,200105041,FRAGANCIAS,ESIKA,80
43768565,400095729,N/A,GENERICA,0.08
9527508,200082674,FRAGANCIAS,ESIKA,52
50166147,200085860,CUIDADO PERSONAL,ESIKA,36
47856221,400095729,N/A,GENERICA,0.08
50229459,200106442,MAQUILLAJE,ESIKA,0
44069326,200109890,MAQUILLAJE,CYZONE,44
43853007,400098071,N/A,GENERICA,0.23
50396169,400095693,N/A,ESIKA,0.08
49950519,200106454,MAQUILLAJE,ESIKA,0
44066882,400095729,N/A,GENERICA,0.08
50229459,210102547,BIJOUTERIE,CYZONE,103
50814572,200105017,FRAGANCIAS,CYZONE,60
43256556,210095994,MAQUILLAJE,ESIKA,38
49950519,210096207,MAQUILLAJE,ESIKA,38
50814572,200103923,MAQUILLAJE,CYZONE,38
50545121,200090031,MUESTRAS COSMETICOS,CYZONE,1.1
50229459,200110157,FRAGANCIAS,ESIKA,170
50814572,200113736,VARIOS,GENERICA,87.9
49950519,400095711,N/A,LBEL,0.08
50545121,400098082,N/A,GENERICA,1.2
50814572,400095693,N/A,ESIKA,0.08
44069326,200106458,MAQUILLAJE,ESIKA,0
49950519,200083997,FRAGANCIAS,ESIKA,100
43256556,200106284,FRAGANCIAS,ESIKA,109
50229459,200103327,MAQUILLAJE,ESIKA,56
43256556,200097067,CUIDADO PERSONAL,ESIKA,72
50396169,200105195,CUIDADO PERSONAL,ESIKA,18
50381781,200106312,FRAGANCIAS,ESIKA,60
44066882,200087253,MAQUILLAJE,CYZONE,44
43256556,400095675,N/A,CYZONE,0.08
43256556,200095517,CUIDADO PERSONAL,ESIKA,42
50545121,400096763,N/A,GENERICA,0.04
49950519,200094936,FRAGANCIAS,CYZONE,52
43853007,200082652,CUIDADO PERSONAL,ESIKA,72
43256556,200095162,CUIDADO PERSONAL,ESIKA,18
47841925,210085428,MAQUILLAJE,CYZONE,1.1
49021348,210101134,COMPLEMENTOS,CYZONE,42
1156543,200108807,CUIDADO PERSONAL,ESIKA,18
49661266,400095728,N/A,GENERICA,0.8
49021348,200113796,MAQUILLAJE,CYZONE,38
50331903,400097984,N/A,GENERICA,0.11
1156543,400095728,N/A,GENERICA,0.8
