CODEBELISTA,CODPRODUCTOSAP,DESCATEGORIA,DESMARCA,PRECIOOFERTA,FECHAPROCESO
049740433,200103923,MAQUILLAJE,CYZONE,15.90000,2023-01-11
049885083,200107824,CUIDADO PERSONAL,LBEL,24.50000,2023-01-18
049885083,200105188,CUIDADO PERSONAL,ESIKA,8.90000,2023-01-18
049588232,200104065,TRATAMIENTO FACIAL,LBEL,34.00000,2023-01-17
048341519,200107360,MAQUILLAJE,CYZONE,13.90000,2023-01-13
040764801,210102010,COMPLEMENTOS,CYZONE,62.90000,2023-01-16
049931050,200091727,FRAGANCIAS,ESIKA,29.90000,2023-01-23
049075782,200089988,MAQUILLAJE,CYZONE,13.50000,2023-01-23
049086741,210104543,BIJOUTERIE,ESIKA,29.90000,2023-01-18
042382701,210099579,HOGAR,CYZONE,44.90000,2023-01-19
039625989,200105125,CUIDADO PERSONAL,ESIKA,7.63000,2023-01-10
039625989,200103441,CUIDADO PERSONAL,ESIKA,7.63000,2023-01-10
049470762,200090452,FRAGANCIAS,ESIKA,39.90000,2023-01-09
046587790,200103441,CUIDADO PERSONAL,ESIKA,13.90000,2023-01-13
049794657,200099673,FRAGANCIAS,CYZONE,14.00000,2023-01-20
041317310,200095931,FRAGANCIAS,ESIKA,29.90000,2023-01-10
046219902,200112474,TRATAMIENTO CORPORAL,LBEL,29.90000,2023-01-27
045680231,200101074,MAQUILLAJE,CYZONE,26.90000,2023-01-17
047948835,200090452,FRAGANCIAS,ESIKA,39.90000,2023-01-10
034978506,200102674,MAQUILLAJE,ESIKA,18.90000,2023-01-19
049931050,200108728,TRATAMIENTO CORPORAL,LBEL,9.66000,2023-01-23
011692060,210098531,MAQUILLAJE,CYZONE,24.90000,2023-01-16
047880688,200090349,CUIDADO PERSONAL,ESIKA,17.30000,2023-01-26
049740433,200106304,FRAGANCIAS,ESIKA,39.90000,2023-01-11
044045680,210102136,RELOJES,ESIKA,99.90000,2023-01-12
048341519,200105983,MAQUILLAJE,LBEL,18.00000,2023-01-13
041317310,210102353,BIJOUTERIE,ESIKA,39.90000,2023-01-10
036949902,200105017,FRAGANCIAS,CYZONE,16.90000,2023-01-13
011976964,200078924,CUIDADO PERSONAL,ESIKA,11.74000,2023-01-09
044047470,200098788,TRATAMIENTO FACIAL,LBEL,14.95000,2023-01-11
049566263,200106304,FRAGANCIAS,ESIKA,39.90000,2023-01-16
010459362,200093884,FRAGANCIAS,ESIKA,24.39000,2023-01-09
