consultant_id,product_id,category,brand,price,date,purchase_frequency,daily_total_spent,average_purchasing_power,recency,purchase_frequency_normalized,recency_normalized,total_spent,purchase_count,unique_products
35775838,200100866,FRAGANCIAS,ESIKA,52.49,2024-07-17,11,357.4,430.195,156,0.17543859649122806,0.208955223880597,2877.0,114,97
52093236,200105188,CUIDADO PERSONAL,ESIKA,8.6,2024-07-17,17,403.69,430.195,156,0.2807017543859649,0.208955223880597,2355.56,85,76
52093236,200105017,FRAGANCIAS,CYZONE,15.0,2024-07-17,17,403.69,430.195,156,0.2807017543859649,0.208955223880597,2355.56,85,76
33740395,200108752,CUIDADO PERSONAL,ESIKA,12.0,2024-07-17,13,260.25,430.195,156,0.21052631578947367,0.208955223880597,3734.35,145,126
35775838,200089222,FRAGANCIAS,ESIKA,59.9,2024-07-17,11,357.4,430.195,156,0.17543859649122806,0.208955223880597,2877.0,114,97
31344638,210105975,BIJOUTERIE,CYZONE,49.9,2024-07-17,8,198.76,430.195,156,0.12280701754385964,0.208955223880597,1633.6499999999999,63,56
42829803,200112357,CUIDADO PERSONAL,ESIKA,32.9,2024-07-17,11,389.9,430.195,156,0.17543859649122806,0.208955223880597,2590.65,77,66
42829803,210100689,HOGAR,CYZONE,74.9,2024-07-17,11,389.9,430.195,156,0.17543859649122806,0.208955223880597,2590.65,77,66
52093236,200102430,FRAGANCIAS,ESIKA,29.9,2024-07-17,17,403.69,430.195,156,0.2807017543859649,0.208955223880597,2355.56,85,76
51056906,200095930,CUIDADO PERSONAL,ESIKA,18.9,2024-07-19,6,190.4,430.195,154,0.08771929824561403,0.2062415196743555,7525.62,312,205
33529260,200107184,MAQUILLAJE,CYZONE,17.9,2024-07-19,14,375.09999999999997,430.195,154,0.22807017543859648,0.2062415196743555,20404.69,757,481
52364329,200112359,CUIDADO PERSONAL,ESIKA,27.47,2024-07-19,21,581.78,430.195,154,0.3508771929824561,0.2062415196743555,3728.87,146,118
52105560,210105839,BIJOUTERIE,ESIKA,39.9,2024-07-19,13,611.4,430.195,154,0.21052631578947367,0.2062415196743555,6084.48,183,149
52181135,200116780,MAQUILLAJE,CYZONE,16.9,2024-07-19,9,204.2,430.195,154,0.14035087719298245,0.2062415196743555,2724.73,91,80
51056906,210102045,RELOJES,CYZONE,52.9,2024-07-19,6,190.4,430.195,154,0.08771929824561403,0.2062415196743555,7525.62,312,205
