CODPRODUCTOSAP,DESSUBTIPO
200013263,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013264,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013265,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013266,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013267,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013268,UNISEX INFANTES/CALZADO/PANTUFLAS/SIN SUBTIPO ESPECIAL
200013286,DAMAS/ARETES/CLASICO/A
200013287,DAMAS/COLLARES/CLASICO/A
200013297,ROPA BLANCA/SALA/COMEDOR/MANTEL/RECTANGULAR
200013300,ROPA BLANCA/SALA/COMEDOR/MANTEL/REDONDO
200013304,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013305,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013306,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013309,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013311,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013312,CUIDADO PERSONAL/SHAMPOO/ADULTOS/SOLO SHAMPOO
200013328,MAQUILLAJE/MIXTO/ESTUCHES/VARIOS
200013329,DAMAS/COLLARES/CLASICO/C
200013330,DAMAS/ARETES/CLASICO/C
200013331,DAMAS/ARETES/CLASICO/C
200013332,DAMAS/COLLARES/CLASICO/C
200013333,DAMAS/ARETES/CLASICO/B
200013334,DAMAS/COLLARES/CLASICO/B
200013335,DAMAS/ARETES/CLASICO/B
200013352,DAMAS/DE VESTIR/CONJUNTO S&M/MODA
200013353,DAMAS/DE VESTIR/CONJUNTO S&M/MODA
200013354,DAMAS/DE VESTIR/CONJUNTO S&M/MODA
200013355,DAMAS/DE VESTIR/CONJUNTO S&M/MODA
200013359,DAMAS/COLLARES/CLASICO/A
200013365,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013366,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013367,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013368,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013369,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013370,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013371,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013372,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013373,DAMAS/DE VESTIR/POLO MANGA LARGA/MODA
200013377,DAMAS/DE VESTIR/BOLSOS/IMITACION CUERO
200013379,DAMAS/DE VESTIR/CONJUNTO S&M/ESENCIAL
200013380,DAMAS/DE VESTIR/CONJUNTO S&M/ESENCIAL
200013386,JOVENES/SORTIJAS/MODERNO/C
200013388,JOVENES/ARETES/MODERNO/C
210109792,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
210109793,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
210109789,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
210109795,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
210109794,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
210109796,MAQUILLAJE/PARA OJOS/SOMBRAS/KIT/PALETA
220047239,N/A
220047240,N/A
400102427,N/A
400102426,N/A
400102428,N/A
210109777,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109774,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109776,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
210109773,MAQUILLAJE/PARA ROSTRO/POLVOS/COMPACTO/SINGLE
